Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Predicted_Sales,Prediction_Error,Month_Name,Holiday_Label,Data_Type
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,1608337.7065000022,35353.193499997724,February,Regular Week,Actual
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,1624091.7507,17865.68929999997,February,Holiday Week,Actual
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,1610537.6487999996,1430.5212000003085,February,Regular Week,Actual
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,1470061.2165000022,-60333.62650000211,February,Regular Week,Actual
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,1526113.411100003,28693.268899996998,March,Regular Week,Actual
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10,1465508.406800002,-25966.81680000201,March,Regular Week,Actual
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11,1470189.8466000017,2325.9433999983594,March,Regular Week,Actual
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12,1437084.2439000013,-32654.323900001356,March,Regular Week,Actual
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,13,1480149.9606000003,114818.31939999969,April,Regular Week,Actual
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,14,1505594.0545000008,39824.475499999244,April,Regular Week,Actual
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,15,1470902.068400001,-4843.788400000893,April,Regular Week,Actual
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,16,1422976.0283000015,-31719.908300001407,April,Regular Week,Actual
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,1463943.0258999998,-38842.31589999981,April,Regular Week,Actual
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,18,1559548.4672000017,44406.65279999841,May,Regular Week,Actual
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,19,1559364.3779000016,-65112.87790000159,May,Regular Week,Actual
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,20,1481452.9552000007,-81790.8852000006,May,Regular Week,Actual
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,21,1446813.5444,-14743.59440000006,May,Regular Week,Actual
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,22,1450190.8951999992,165333.81480000075,June,Regular Week,Actual
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,23,1509811.456600001,32749.633399999002,June,Regular Week,Actual
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,24,1463236.0822999997,40047.977700000396,June,Regular Week,Actual
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,1432699.6344999978,-9988.034499997739,June,Regular Week,Actual
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,26,1480533.397999999,11884.742000000784,July,Regular Week,Actual
